epoch,train_loss,test_loss
0,0.4125644619078642,0.23468828844089135
1,0.2426267329435546,0.22466767243310518
2,0.2296370076022398,0.21334973737305285
3,0.21671835375761433,0.20957576147481508
4,0.20471710948575284,0.1833329190518342
5,0.19245565941287307,0.17115376553699083
6,0.18177435700481034,0.1611825746356272
7,0.17260261288368745,0.1539429835244721
8,0.16394117253125803,0.14553204880041234
9,0.1575629527109985,0.13655766800922506
10,0.1544354799204709,0.13982654275263057
11,0.150338160089613,0.14056487089278652
12,0.14588203341059214,0.12727493515201643
13,0.14351061138071475,0.1258086147261601
14,0.14087342103346548,0.12582696711315827
15,0.1375110054912724,0.12283536645711637
16,0.13503710784916464,0.12261563101235558
17,0.13314114902145824,0.11551970959294076
18,0.13084820940201233,0.11383769675797108
19,0.12913213634861226,0.1152415710190932
20,0.12729894576750778,0.11217211289148704
21,0.12582391835340773,0.11119132174872885
22,0.12466046599791489,0.11043564354379971
23,0.12186441292825193,0.112330117354206
24,0.12236605899524167,0.10878539297218416
25,0.12078398555952798,0.10730592767689742
26,0.11921978258186368,0.10701458952298351
27,0.11901133594610223,0.1064559219076353
28,0.11721509543500487,0.10538696008277874
29,0.11655631846545239,0.1047961450382775
30,0.11544957668061089,0.1052048640216098
31,0.11433503261328325,0.1039053341921638
32,0.11389367134467983,0.10246698032407199
33,0.11301231179182189,0.10309641282348071
34,0.11234402933342884,0.10212380146863413
35,0.11062591539267065,0.10165327882357672
36,0.1105277839771287,0.10086524464628276
37,0.10936847243834645,0.10101790434005213
38,0.10863861166639537,0.1005174024578403
39,0.1083653260943515,0.09939263381210028
40,0.10735261511062152,0.09914377346342686
41,0.10705609438117326,0.09911314902060173
42,0.10631431239894189,0.09896346605291553
43,0.1058292044701007,0.0994734585869546
44,0.10498297975901129,0.09853379932396553
45,0.10452750475848055,0.09815901897701562
46,0.1041502087818284,0.09771880470946723
47,0.10353248666214158,0.09780024664074767
48,0.1031369515734381,0.09720061872811879
49,0.10280384616098218,0.0968588382443961
