epoch,train_loss,test_loss
0,0.45055553876090426,0.2554240811104868
1,0.25752231407906045,0.2502855284541261
2,0.23846736220000866,0.21994653373372322
3,0.2256573403614883,0.20562985773180045
4,0.21439021678775294,0.19376709122283786
5,0.2031753165386481,0.181227034359586
6,0.1941152760593377,0.1782507382187189
7,0.18573862473944364,0.16751183189597785
8,0.17974065696133185,0.16067548037744037
9,0.17579790755616326,0.15582221278957292
10,0.16990549049264186,0.15047263850768408
11,0.1667184697579815,0.14952683010522058
12,0.16407196612146102,0.14764046727442273
13,0.16078839883952425,0.14366657520626105
14,0.15785222520527684,0.1391473143708472
15,0.15456723085129304,0.1367889921747002
16,0.15178647038416798,0.13435641866104275
17,0.14906907374726724,0.12955851823675865
18,0.146294058467308,0.1280048708705341
19,0.14466995069809285,0.13252557580377541
20,0.1425137720031076,0.1263532864989019
21,0.14152409768823293,0.12474634410703883
22,0.14057530789442096,0.12473088108441409
23,0.13885777555269968,0.12360160418000876
24,0.1371793878354341,0.12186405033457513
25,0.13621890996826697,0.12108427592936684
26,0.13519025917973793,0.11944106162763109
27,0.13376951883756868,0.11889589380692034
28,0.132909814129503,0.11813965943806312
29,0.13165001033030532,0.11619718036815233
30,0.13059627109555466,0.11591332193975355
31,0.1296961238646333,0.11428183536319171
32,0.12870138080452595,0.11325334319297005
33,0.1273717723795906,0.11347970578308199
34,0.12692035870778576,0.11312338877834525
35,0.12569682721171105,0.11284549797282499
36,0.1248860727364921,0.11267333222078342
37,0.12431925309234357,0.11110641047650692
38,0.1234223069793269,0.11028271730916173
39,0.1227079143659206,0.10945524604004972
40,0.12207199888129182,0.10910250195393376
41,0.1214987000997261,0.10911788659937241
42,0.12079642294712102,0.10806206971699116
43,0.12032178442711952,0.10827799229060903
44,0.1195497497117621,0.10739980594200246
45,0.11911151787758455,0.10701492772090669
46,0.11880976622345676,0.10648867181118797
47,0.11815950416037575,0.10630505261760131
48,0.11777578556544888,0.10591686758048394
49,0.1171528562613004,0.1056995689868927
