epoch,train_loss,test_loss
0,0.4048579895140628,0.233631822700594
1,0.24168685274641058,0.22931925075895646
2,0.23109904815523402,0.22608904131487303
3,0.2204057648868712,0.2466630438963572
4,0.20610987187230487,0.1946689971521789
5,0.19254481719849897,0.17131723711887994
6,0.17949395927166098,0.15970769378484465
7,0.16963387083774942,0.15142042029137706
8,0.1617251933710003,0.1476049373547236
9,0.1548355333370936,0.14269881929252662
10,0.15078575427254864,0.13447242025651185
11,0.14605985069136962,0.12736103011696948
12,0.14208725181915294,0.126894868618133
13,0.13813129172691038,0.13396168821582607
14,0.13499629895013374,0.11880263233301687
15,0.13381483326875918,0.12043752126833972
16,0.12984864077055497,0.11576889981241788
17,0.12899133963249487,0.11640798373549592
18,0.12619338876110628,0.11324029043316841
19,0.1258319850634425,0.11294492670134001
20,0.1239291161443952,0.11291046747389961
21,0.12319917268098199,0.1117226097221468
22,0.12067128728789331,0.10870013510187466
23,0.11907286178797084,0.10854353375878989
24,0.11838393315364325,0.10629491946276497
25,0.11730625586591016,0.1085697993928311
26,0.11570863237879017,0.10553707116666962
27,0.11516969481281183,0.10577985892693202
28,0.11407710027389782,0.10423655099436349
29,0.11290836793423861,0.10929950129459887
30,0.11269003948725388,0.10248928707019955
31,0.11093616652575829,0.1021591709086708
32,0.11037431001191307,0.10183258946327602
33,0.1093462246779838,0.10024209758814644
34,0.10885415797039014,0.10007921065769944
35,0.10792151840356032,0.0999000408485824
36,0.10701987307958859,0.09958897333811312
37,0.10678937642786303,0.0992667052675696
38,0.105977732629201,0.09936735413822473
39,0.10537709065244491,0.09800925595211048
40,0.10474060433173732,0.09814529179358016
41,0.10404580284304799,0.09724165550341793
42,0.10361329988824901,0.09753507887031518
43,0.10284099690661506,0.0970186559008617
44,0.10249439135066775,0.0970984099104124
45,0.10211921672038417,0.09633004979467859
46,0.10147576395254333,0.09574856433798284
47,0.10110625013908718,0.09572753207940682
48,0.10079315594248882,0.09552379807128626
49,0.10042569527672501,0.09543968262333496
