epoch,train_loss,test_loss
0,0.4803999304481023,0.2503300791277605
1,0.2559858006442218,0.23141840626211727
2,0.23988682935502148,0.2378178057717342
3,0.23077515295812187,0.22067618311620227
4,0.22583570246937504,0.21627679993124568
5,0.22212559699867007,0.21599108594305375
6,0.21903573657214714,0.2094511202737397
7,0.21617597325202464,0.2030868635458105
8,0.2094603401952481,0.2029691557673847
9,0.20207636686321007,0.199394340754724
10,0.19605812686296967,0.1824119505929012
11,0.18920680925921604,0.1743983031780112
12,0.1808231394016496,0.15870686372121176
13,0.17347165078251428,0.15789462289973802
14,0.1668358947559919,0.1449188928978116
15,0.16149267880983387,0.1578037085778573
16,0.15799318685964311,0.1407539897105273
17,0.15443654797617323,0.13684646639169432
18,0.151379699338949,0.13348798336935977
19,0.14837194502752968,0.1311601847410202
20,0.14555827343108158,0.12932992814218297
21,0.14269853378765185,0.1325437252720197
22,0.14010900563030673,0.12575928282503987
23,0.13781234768109257,0.12230454312235702
24,0.13552020528284553,0.12121325891976263
25,0.13449055355736458,0.11948564816631523
26,0.13345891019458747,0.11942542884864059
27,0.13200208416773543,0.1170905397510996
28,0.1304552318771051,0.11875009551352146
29,0.13022756681808165,0.11895737446406308
30,0.1287889212878119,0.14846694922330333
31,0.12739887061312197,0.11873386530022995
32,0.1266203601090249,0.11468554631459947
33,0.12552510559486268,0.11272399193223785
34,0.1248695755266243,0.11370798653247309
35,0.12428822247685817,0.11166150137489918
36,0.12324883797899089,0.11155064221398503
37,0.12251033134821998,0.11093847599684023
38,0.12143913637415646,0.10927062751907929
39,0.12100502882202709,0.10974395041372262
40,0.12023076451361978,0.11061032109108626
41,0.11944718031841131,0.10787614456870977
42,0.11842957591858037,0.10718388051963319
43,0.11796086245237983,0.10757606337760009
44,0.11737277506692982,0.10698208753384796
45,0.11682682260235683,0.106162600000115
46,0.11629856191802403,0.1054732302094207
47,0.11547616861951192,0.10565056001730994
48,0.11510868719013251,0.10463238200720619
49,0.11482834216121053,0.1046715944128878
